peakNO,accession,mz,rt,stats,xref,candidate,exact_mass,theoretical_precursor,precursor_type,structure,Attn_w,nH2O_w,err,Sugar_n,Acid_n,cou,DDMP,fer,hex,hexA,mal,pen,sin,dhex,aglycone,ion1,ion2,ion3,ion4,ion5,glycosyl1,glycosyl2,glycosyl3,glycosyl4,glycosyl5,topMs2
99,,1027.513,0,44 candidates,,Acetylleptinidine,1027.513,455.3388792,[M]-,NA,644.21637964,72.04225884,1.01779630597854,3,1,0,0,1,0,0,0,3,0,0,False,,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Leptinidine,1027.513,413.32831449,[M]-,NA,686.22694435,72.04225884,1.02238018022195,3,1,1,0,0,0,1,0,0,0,2,False,,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Solasodine,1027.513,413.32831449,[M]-,NA,686.22694435,72.04225884,1.02238018022195,3,1,1,0,0,0,1,0,0,0,2,False,,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Tomatidenol,1027.513,413.32831449,[M]-,NA,686.22694435,72.04225884,1.02238018022195,3,1,1,0,0,0,1,0,0,0,2,False,,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Acetylleptinidine,1027.513,455.3388792,[M]-,NA,644.21637964,72.04225884,1.01779630597854,3,1,1,0,0,1,0,0,2,0,0,False,,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Gypsogenic acid,1028.520276,485.32831449,[M-H]-,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(C(C)(C5CCC34C)C(=O)O)O)C2C1)C(=O)O,614.22694435,72.04225884,1.03604287529849,4,0,0,0,0,0,0,0,3,0,1,False,983.5228 [M-CO2-H]-,,,,,"X-dHex, -Pen-Pen-Pen","X-dHex, -Pen-Pen-Pen","X-dHex-Pen, -Pen-Pen","X-dHex, -Pen-Pen-Pen","X-dHex-Pen, -Pen-Pen",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Polygalagenin,1028.520276,485.32831449,[M-H]-,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(C(C(C)(C=O)C5CCC34C)O)O)C2C1)C(=O)O,614.22694435,72.04225884,1.03604287529849,4,0,0,0,0,0,0,0,3,0,1,False,983.5228 [M-CO2-H]-,,,,,"X-dHex, -Pen-Pen-Pen","X-dHex, -Pen-Pen-Pen","X-dHex-Pen, -Pen-Pen","X-dHex, -Pen-Pen-Pen","X-dHex-Pen, -Pen-Pen",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,24-Hydroxy glycyrrhizic acid,1028.520276,485.32831449,[M-H]-,NA,614.22694435,72.04225884,1.06025246333487,4,0,0,0,0,0,0,0,3,0,1,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Furost-20(22)-en-26-ol,1028.520276,399.32792049,[M-H]-,NA,718.23790306,90.05282355,1.04664064664262,4,1,0,0,0,0,0,1,3,0,1,False,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,795.4629 [M-dHex-Mal-H]-,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,"12,17-Dihydroxy-spirost-4-en-3-one",1028.520276,443.28136428,[M-H]-,NA,656.27389456,72.04225884,1.06004828602979,4,0,0,0,0,0,0,0,0,0,4,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
